source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
93090do001_2019.xls,2019,Table 3,Campervans,2014,VIC,17.3
93090do001_2019.xls,2019,Table 3,Campervans,2014,WA,22.0
93090do001_2020.xls,2020,Table 3,Campervans,2015,ACT,18.1
93090do001_2020.xls,2020,Table 3,Campervans,2015,AUS,17.6
93090do001_2020.xls,2020,Table 3,Campervans,2015,NSW,15.7
93090do001_2020.xls,2020,Table 3,Campervans,2015,NT,19.3
93090do001_2020.xls,2020,Table 3,Campervans,2015,QLD,14.4
93090do001_2020.xls,2020,Table 3,Campervans,2015,SA,21.5
93090do001_2020.xls,2020,Table 3,Campervans,2015,TAS,21.6
93090do001_2020.xls,2020,Table 3,Campervans,2015,VIC,17.2
93090do001_2020.xls,2020,Table 3,Campervans,2015,WA,22.4
93090do001_2021.xls,2021,Table 3,Campervans,2016,ACT,19.1
93090do001_2021.xls,2021,Table 3,Campervans,2016,AUS,17.4
93090do001_2021.xls,2021,Table 3,Campervans,2016,NSW,15.5
93090do001_2021.xls,2021,Table 3,Campervans,2016,NT,19.4
93090do001_2021.xls,2021,Table 3,Campervans,2016,QLD,14.3
93090do001_2021.xls,2021,Table 3,Campervans,2016,SA,21.2
93090do001_2021.xls,2021,Table 3,Campervans,2016,TAS,21.9
93090do001_2021.xls,2021,Table 3,Campervans,2016,VIC,17.0
93090do001_2021.xls,2021,Table 3,Campervans,2016,WA,22.6
93090do001_2018.xls,2018,Table 3,Campervans,2017,ACT,18.1
93090do001_2018.xls,2018,Table 3,Campervans,2017,AUS,17.2
93090do001_2018.xls,2018,Table 3,Campervans,2017,NSW,15.4
93090do001_2018.xls,2018,Table 3,Campervans,2017,NT,20.0
93090do001_2018.xls,2018,Table 3,Campervans,2017,QLD,14.2
93090do001_2018.xls,2018,Table 3,Campervans,2017,SA,21.3
93090do001_2018.xls,2018,Table 3,Campervans,2017,TAS,22.3
93090do001_2018.xls,2018,Table 3,Campervans,2017,VIC,16.6
93090do001_2018.xls,2018,Table 3,Campervans,2017,WA,22.8
93090do001_2019.xls,2019,Table 3,Campervans,2018,ACT,18.3754
93090do001_2019.xls,2019,Table 3,Campervans,2018,AUS,17.1066
93090do001_2019.xls,2019,Table 3,Campervans,2018,NSW,15.4108
93090do001_2019.xls,2019,Table 3,Campervans,2018,NT,19.9457
93090do001_2019.xls,2019,Table 3,Campervans,2018,QLD,14.2142
93090do001_2019.xls,2019,Table 3,Campervans,2018,SA,20.8489
93090do001_2019.xls,2019,Table 3,Campervans,2018,TAS,22.3338
93090do001_2019.xls,2019,Table 3,Campervans,2018,VIC,16.2242
93090do001_2019.xls,2019,Table 3,Campervans,2018,WA,22.9884
93090do001_2020.xls,2020,Table 3,Campervans,2019,ACT,18.4
93090do001_2020.xls,2020,Table 3,Campervans,2019,AUS,17.0
93090do001_2020.xls,2020,Table 3,Campervans,2019,NSW,15.4
93090do001_2020.xls,2020,Table 3,Campervans,2019,NT,20.3
93090do001_2020.xls,2020,Table 3,Campervans,2019,QLD,14.2
93090do001_2020.xls,2020,Table 3,Campervans,2019,SA,21.3
93090do001_2020.xls,2020,Table 3,Campervans,2019,TAS,22.4
93090do001_2020.xls,2020,Table 3,Campervans,2019,VIC,16.0
93090do001_2020.xls,2020,Table 3,Campervans,2019,WA,22.9
93090do001_2021.xls,2021,Table 3,Campervans,2020,ACT,17.6
93090do001_2021.xls,2021,Table 3,Campervans,2020,AUS,17.0
93090do001_2021.xls,2021,Table 3,Campervans,2020,NSW,15.5
93090do001_2021.xls,2021,Table 3,Campervans,2020,NT,19.9
93090do001_2021.xls,2021,Table 3,Campervans,2020,QLD,14.3
93090do001_2021.xls,2021,Table 3,Campervans,2020,SA,21.0
93090do001_2021.xls,2021,Table 3,Campervans,2020,TAS,22.3
93090do001_2021.xls,2021,Table 3,Campervans,2020,VIC,15.8
93090do001_2021.xls,2021,Table 3,Campervans,2020,WA,23.0
93090do001_2021.xls,2021,Table 3,Campervans,2021,ACT,18.1
93090do001_2021.xls,2021,Table 3,Campervans,2021,AUS,17.3
93090do001_2021.xls,2021,Table 3,Campervans,2021,NSW,15.6
93090do001_2021.xls,2021,Table 3,Campervans,2021,NT,20.0
93090do001_2021.xls,2021,Table 3,Campervans,2021,QLD,14.7
93090do001_2021.xls,2021,Table 3,Campervans,2021,SA,21.3
