source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,SA,194244.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,TAS,96916.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,VIC,632496.0
93090do001_2020.xls,2020,Table 1,Light commercial vehicles,2015,WA,376012.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,ACT,29817.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,AUS,2985592.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,NSW,804665.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,NT,44419.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,QLD,775864.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,SA,199058.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,TAS,99346.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,VIC,652020.0
93090do001_2021.xls,2021,Table 1,Light commercial vehicles,2016,WA,380403.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,ACT,30696.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,AUS,3079590.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,NSW,839451.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,NT,43854.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,QLD,797839.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,SA,205786.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,TAS,102580.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,VIC,675606.0
93090do001_2018.xls,2018,Table 1,Light commercial vehicles,2017,WA,383778.0
