source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1991-92,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,63.0170885951875,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1992-93,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,57.00955492789158,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1992-93,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.6914928599692953,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1992-93,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.035003525862151,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1992-93,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,4.036539191412691,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1992-93,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,64.77259050513571,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1993-94,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,58.57736206426308,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1993-94,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.7918670537462675,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1993-94,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,1.9079453771799517,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1993-94,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,4.272106800328207,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1993-94,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,66.5492812955175,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1994-95,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,60.88238087617045,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1994-95,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.7468171821345941,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1994-95,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.4048377325254253,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1994-95,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,5.036435805779959,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1994-95,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,70.07047159661043,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1995-96,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,62.344961391407686,Mt CO2-e
