source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1995-96,Other,other,passenger_activity,25.4248263659592,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1995-96,Total,total,passenger_activity,307.47500464940657,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1996-97,Passenger cars,passenger_cars,passenger_activity,227.6771456922449,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1996-97,Buses,buses,passenger_activity,16.42201831672953,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1996-97,Rail,rail,passenger_activity,10.723379339440788,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1996-97,Air,air,passenger_activity,29.9804795990861,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1996-97,Other,other,passenger_activity,25.455274555316453,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1996-97,Total,total,passenger_activity,310.25829750281775,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1997-98,Passenger cars,passenger_cars,passenger_activity,229.8961148999075,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1997-98,Buses,buses,passenger_activity,16.577769680282852,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1997-98,Rail,rail,passenger_activity,10.723734223246462,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1997-98,Air,air,passenger_activity,30.443869000719545,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1997-98,Other,other,passenger_activity,26.153070043766796,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1997-98,Total,total,passenger_activity,313.7945578479231,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1998-99,Passenger cars,passenger_cars,passenger_activity,235.26973855533618,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1998-99,Buses,buses,passenger_activity,16.640128531456664,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1998-99,Rail,rail,passenger_activity,10.919423179520152,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1998-99,Air,air,passenger_activity,31.056556911763604,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1998-99,Other,other,passenger_activity,26.612465969747063,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1998-99,Total,total,passenger_activity,320.4983131478237,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1999-00,Passenger cars,passenger_cars,passenger_activity,239.8093971896792,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1999-00,Buses,buses,passenger_activity,16.991419073514308,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1999-00,Rail,rail,passenger_activity,11.296393352671902,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1999-00,Air,air,passenger_activity,32.84469909522486,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1999-00,Other,other,passenger_activity,27.064154855715906,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1999-00,Total,total,passenger_activity,328.0060635668062,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2000-01,Passenger cars,passenger_cars,passenger_activity,237.1622396742555,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2000-01,Buses,buses,passenger_activity,17.261311826714778,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2000-01,Rail,rail,passenger_activity,11.886001155845454,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2000-01,Air,air,passenger_activity,35.6766052114,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2000-01,Other,other,passenger_activity,27.332070842123183,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2000-01,Total,total,passenger_activity,329.3182287103389,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2001-02,Passenger cars,passenger_cars,passenger_activity,243.1668833959,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2001-02,Buses,buses,passenger_activity,17.34823828476213,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,2001-02,Rail,rail,passenger_activity,11.713361794579383,billion passenger-km
