source_workbook,release_year,table,vehicle_type,manufacture_period,jurisdiction,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,WA,7906.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,TAS,1607.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,NT,884.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,ACT,416.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2014 - 2018,AUS,70123.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,NSW,16932.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,VIC,13695.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,QLD,12755.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,SA,3529.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,WA,10555.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,TAS,1362.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,NT,937.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,ACT,312.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2009 - 2013,AUS,60077.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,NSW,20135.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,VIC,16151.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,QLD,15590.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,SA,4273.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,WA,11056.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,TAS,1912.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,NT,1073.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,ACT,308.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,2004 - 2008,AUS,70498.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,NSW,28760.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,VIC,28902.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,QLD,23140.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,SA,9318.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,WA,22235.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,TAS,4372.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,NT,1289.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,ACT,286.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Heavy rigid trucks,To 2003,AUS,118302.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,NSW,7916.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,VIC,10430.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,QLD,8069.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,SA,2764.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,WA,4513.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,TAS,570.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,NT,267.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,ACT,34.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2019 - 2024,AUS,34563.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,NSW,6529.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,VIC,7643.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,QLD,5630.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,SA,2126.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,WA,3760.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,TAS,628.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,NT,256.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,ACT,47.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2014 - 2018,AUS,26619.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2009 - 2013,NSW,4623.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2009 - 2013,VIC,4861.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2009 - 2013,QLD,4331.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Articulated trucks,2009 - 2013,SA,1764.0
