source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,hybrid_electric,24.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,battery_fuel_cell_electric,368.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,other_or_not_specified,1006.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2024,total,47760.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,petrol,935869.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,diesel,6.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,dual_fuel,75.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,hybrid_electric,17.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,battery_fuel_cell_electric,4429.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,other_or_not_specified,60.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2022,total,940456.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,petrol,951538.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,diesel,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,dual_fuel,65.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,hybrid_electric,17.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,battery_fuel_cell_electric,6009.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,other_or_not_specified,61.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2023,total,957693.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,petrol,963341.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,diesel,5.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,dual_fuel,60.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,hybrid_electric,16.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,battery_fuel_cell_electric,6793.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,other_or_not_specified,71.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Motorcycles,2024,total,970286.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,petrol,14474594.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,diesel,5688736.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,dual_fuel,131555.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,hybrid_electric,276985.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,battery_fuel_cell_electric,38754.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,other_or_not_specified,65972.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2022,total,20676596.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,petrol,14540690.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,diesel,5992464.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,dual_fuel,119962.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,hybrid_electric,363971.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,battery_fuel_cell_electric,79089.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,other_or_not_specified,61560.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2023,total,21157736.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,petrol,14622425.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,diesel,6298318.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,dual_fuel,110005.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,hybrid_electric,481388.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,battery_fuel_cell_electric,167845.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,other_or_not_specified,56985.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Total motor vehicles,2024,total,21736966.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2021,petrol,12451354.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2021,diesel,2033930.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2021,dual_fuel,98055.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2021,total,14840964.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2022,petrol,12507092.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2022,diesel,2111010.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2022,dual_fuel,87974.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Passenger vehicles,2022,total,15050528.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2021,petrol,37435.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2021,diesel,46807.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2021,dual_fuel,991.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2021,total,85438.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2022,petrol,38977.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2022,diesel,50433.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2022,dual_fuel,945.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Campervans,2022,total,90573.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Light commercial vehicles,2021,petrol,986466.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Light commercial vehicles,2021,diesel,2570940.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Light commercial vehicles,2021,dual_fuel,43484.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 4,Light commercial vehicles,2021,total,3632434.0
