source_workbook,release_year,table,jurisdiction,year,motive_power,vehicles
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2022,petrol,4350198.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2022,diesel,1561362.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2022,dual_fuel,16495.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NSW,2022,total,6048288.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2021,petrol,3745074.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2021,diesel,1259813.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2021,dual_fuel,78415.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2021,total,5174984.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2022,petrol,3759621.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2022,diesel,1326730.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2022,dual_fuel,71158.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,VIC,2022,total,5268134.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2021,petrol,2950977.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2021,diesel,1324714.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2021,dual_fuel,20084.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2021,total,4343283.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2022,petrol,2978063.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2022,diesel,1399041.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2022,dual_fuel,18140.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,QLD,2022,total,4462027.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2021,petrol,1101547.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2021,diesel,357521.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2021,dual_fuel,5133.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2021,total,1485351.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2022,petrol,1107020.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2022,diesel,380540.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2022,dual_fuel,4795.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,SA,2022,total,1519767.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2021,petrol,1575344.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2021,diesel,687614.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2021,dual_fuel,21820.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2021,total,2312265.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2022,petrol,1583862.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2022,diesel,729018.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2022,dual_fuel,19495.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,WA,2022,total,2369230.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2021,petrol,351183.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2021,diesel,148134.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2021,dual_fuel,169.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2021,total,505582.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2022,petrol,355140.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2022,diesel,157518.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2022,dual_fuel,181.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,TAS,2022,total,520433.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2021,petrol,93901.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2021,diesel,67765.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2021,dual_fuel,404.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2021,total,163527.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2022,petrol,91968.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2022,diesel,69936.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2022,dual_fuel,365.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,NT,2022,total,164540.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2021,petrol,247374.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2021,diesel,62389.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2021,dual_fuel,1084.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2021,total,318350.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2022,petrol,248722.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2022,diesel,64591.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2022,dual_fuel,926.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,ACT,2022,total,324177.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2021,petrol,14421354.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2021,diesel,5395853.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2021,dual_fuel,145716.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2021,total,20257739.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2022,petrol,14474594.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2022,diesel,5688736.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2022,dual_fuel,131555.0
BITRE-Road-Vehicles-Australia-January-2022-Re-Issue.xlsx,2022,Table 5,AUS,2022,total,20676596.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 5,NSW,2021,petrol,4355954.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 5,NSW,2021,diesel,1487903.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 5,NSW,2021,dual_fuel,18607.0
