source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,SA,12.02
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,WA,11.81
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,TAS,14.57
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,NT,9.02
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,ACT,11.55
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Light buses,2024,AUS,11.84
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,NSW,12.41
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,VIC,12.7
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,QLD,12.4
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,SA,14.02
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,WA,12.23
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,TAS,15.54
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,NT,12.45
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,ACT,10.88
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2022,AUS,12.64
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,NSW,12.77
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,VIC,12.86
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,QLD,12.66
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,SA,14.17
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,WA,12.11
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,TAS,15.73
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,NT,13.09
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,ACT,11.69
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2023,AUS,12.86
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,NSW,13.01
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,VIC,12.92
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,QLD,12.96
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,SA,14.43
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,WA,12.04
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,TAS,16.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,NT,12.99
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,ACT,11.77
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Heavy buses,2024,AUS,13.02
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,NSW,10.27
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,VIC,11.48
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,QLD,12.63
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,SA,13.4
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,WA,14.74
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,TAS,12.74
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,NT,10.05
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,ACT,11.58
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2022,AUS,11.98
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,NSW,10.5
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,VIC,11.7
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,QLD,12.91
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,SA,13.71
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,WA,15.15
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 3,Motorcycles,2023,TAS,13.07
