source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2023,other_or_not_specified,47.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,petrol,12607.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2023,total,52700.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,battery_fuel_cell_electric,22.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,diesel,40477.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,dual_fuel,1149.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,hybrid_electric,0.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,other,53.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light buses,2024,other_or_not_specified,51.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,petrol,12149.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2024,total,53850.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,battery_fuel_cell_electric,31.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,diesel,42798.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,dual_fuel,1059.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,hybrid_electric,0.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,other,50.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,petrol,11778.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light buses,2025,total,55716.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,battery_fuel_cell_electric,229.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,diesel,2570940.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,dual_fuel,43484.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,hybrid_electric,80.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,other,31235.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,petrol,986466.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2021,total,3632434.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,battery_fuel_cell_electric,291.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,diesel,2754094.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,dual_fuel,39573.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,hybrid_electric,270.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light commercial vehicles,2022,other,29766.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,other_or_not_specified,29766.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,petrol,960958.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2022,total,3784952.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,battery_fuel_cell_electric,425.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,diesel,2920523.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,dual_fuel,35985.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,hybrid_electric,818.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,other,28187.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2023,other_or_not_specified,28198.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,petrol,940960.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2023,total,3926898.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,battery_fuel_cell_electric,675.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,diesel,3085802.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,dual_fuel,32332.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,hybrid_electric,1458.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,other,26423.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Light commercial vehicles,2024,other_or_not_specified,26444.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,petrol,924203.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2024,total,4070893.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,battery_fuel_cell_electric,948.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,diesel,3234262.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,dual_fuel,29389.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,hybrid_electric,5878.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,other,24471.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,petrol,900885.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Light commercial vehicles,2025,total,4195833.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,battery_fuel_cell_electric,11.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,diesel,169813.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,dual_fuel,464.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,hybrid_electric,32.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,other,49.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,petrol,4101.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Light rigid trucks,2021,total,174470.0
