year,dependence,scenario_family,lever,weak_alignment_probability,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2026,independent,conservative,none,0.0,0.19037379880811553,0.2787938673814606,0.36148019150405764,0.23189208542128237,0.2875942264636014
2026,independent,conservative,uptake_push,0.66295,0.015195264024367492,0.2787938673814606,0.2645248233496916,0.23189208542128237,0.2875942264636014
2026,independent,conservative,renewable_push,0.0,0.19037379880811553,0.05952596832673232,0.36148019150405764,0.1447383762161242,0.2875942264636014
2026,independent,conservative,fossil_reduction,0.0,0.19037379880811553,0.2787938673814606,0.18241928433723284,0.12479603636489439,0.2875942264636014
2026,independent,conservative,balanced_package,0.29695,0.04845978151215912,0.11320160651354172,0.24524051461701188,0.12479603636489439,0.2875942264636014
2026,independent,conservative,delay_case,0.0,0.22323647006436523,0.33442551732822623,0.4079302039830394,0.25970014211876935,0.2875942264636014
2027,independent,conservative,none,0.0,0.1897073421098009,0.27882006561319506,0.3621459153421407,0.23184283224888477,0.2890189413525664
2027,independent,conservative,uptake_push,0.66685,0.015050807197221851,0.27882006561319506,0.26501934370561286,0.23184283224888477,0.2890189413525664
2027,independent,conservative,renewable_push,0.0,0.1897073421098009,0.05892212118930031,0.3621459153421407,0.1447003777174606,0.2890189413525664
2027,independent,conservative,fossil_reduction,0.0,0.1897073421098009,0.27882006561319506,0.18285914543210052,0.12476453571323627,0.2890189413525664
2027,independent,conservative,balanced_package,0.3061,0.048216537477078485,0.11276263200514718,0.24572932741248515,0.12476453571323627,0.2890189413525664
2027,independent,conservative,delay_case,0.0,0.22270843035534735,0.3344464759136139,0.4084714054640879,0.25965679932705976,0.2890189413525664
2028,independent,conservative,none,0.0,0.1907590071705968,0.2776790209622209,0.3627349823204744,0.2318211284097829,0.2892076233072984
2028,independent,conservative,uptake_push,0.6678,0.015319798837137983,0.2776790209622209,0.26551910485250657,0.2318211284097829,0.2892076233072984
2028,independent,conservative,renewable_push,0.0,0.1907590071705968,0.05886211455948328,0.3627349823204744,0.1447424794899955,0.2892076233072984
