year,dependence,scenario_family,weight_scheme,threshold_mode,cvar_level,mean_loss,p_tail_loss,cvar_loss
2026,independent,central,grid_emissions_heavy,baseline,0.95,0.1544817558019529,0.33504907436817427,0.37595675803230405
2026,independent,central,fossil_heavy,baseline,0.9,0.16069063224724886,0.29366048129032385,0.3468030646122513
2026,independent,central,fossil_heavy,baseline,0.95,0.16069063224724886,0.33493720120618975,0.3815956544848433
2026,independent,central,baseline,strict,0.9,0.2116593981021986,0.35873371705517015,0.40875815442422936
2026,independent,central,baseline,strict,0.95,0.2116593981021986,0.39803688879535176,0.44087251547163636
2026,independent,central,equal,strict,0.9,0.21498026175920737,0.37396588953159127,0.42786628237744123
2026,independent,central,equal,strict,0.95,0.21498026175920737,0.41760303874770344,0.46128365365690627
2026,independent,central,uptake_heavy,strict,0.9,0.20062903338278412,0.32423248304056623,0.36464350504647347
2026,independent,central,uptake_heavy,strict,0.95,0.20062903338278412,0.35619020243992,0.3900973216125219
2026,independent,central,grid_emissions_heavy,strict,0.9,0.21360775051543643,0.37039837723781793,0.42496530334144256
2026,independent,central,grid_emissions_heavy,strict,0.95,0.21360775051543643,0.4163957997947184,0.45835371494940025
2026,independent,central,fossil_heavy,strict,0.9,0.215222383960804,0.3622358109615693,0.4157440749880756
2026,independent,central,fossil_heavy,strict,0.95,0.215222383960804,0.40407924237878773,0.45074847149671904
2027,independent,central,baseline,lenient,0.9,0.10446169528152277,0.24390812140206872,0.282502518564504
2027,independent,central,baseline,lenient,0.95,0.10446169528152277,0.27540608995363564,0.30670749708877715
2027,independent,central,equal,lenient,0.9,0.11045390231422497,0.26552947492229273,0.30534249105164596
2027,independent,central,equal,lenient,0.95,0.11045390231422497,0.2982893631534847,0.3291202506057844
2027,independent,central,uptake_heavy,lenient,0.9,0.08912692610839945,0.19043059070223645,0.2200932683105619
2027,independent,central,uptake_heavy,lenient,0.95,0.08912692610839945,0.21359834661386556,0.23877225716730938
2027,independent,central,grid_emissions_heavy,lenient,0.9,0.10094098357552454,0.22446032434604618,0.2683882592117373
2027,independent,central,grid_emissions_heavy,lenient,0.95,0.10094098357552454,0.25792460546224927,0.29595869428321486
2027,independent,central,fossil_heavy,lenient,0.9,0.09841406682935887,0.20541602326249195,0.25440667542627315
2027,independent,central,fossil_heavy,lenient,0.95,0.09841406682935887,0.24147260273112037,0.28707898758651595
2027,independent,central,baseline,baseline,0.9,0.15825648870037803,0.30250604833145806,0.35223365820724417
2027,independent,central,baseline,baseline,0.95,0.15825648870037803,0.342594946707104,0.3826325206924604
2027,independent,central,equal,baseline,0.9,0.16375600872255125,0.3250165908768909,0.3740525676852888
2027,independent,central,equal,baseline,0.95,0.16375600872255125,0.36443066311782135,0.4050879964537225
2027,independent,central,uptake_heavy,baseline,0.9,0.13990476440637414,0.25127901159776217,0.2876387330338998
2027,independent,central,uptake_heavy,baseline,0.95,0.13990476440637414,0.28071353177250563,0.31091199552075593
2027,independent,central,grid_emissions_heavy,baseline,0.9,0.1543463947223749,0.29633747063167337,0.34761997433361064
2027,independent,central,grid_emissions_heavy,baseline,0.95,0.1543463947223749,0.33819746587717797,0.38065733278542563
2027,independent,central,fossil_heavy,baseline,0.9,0.16150002235058136,0.2960499336997555,0.3515397303516976
2027,independent,central,fossil_heavy,baseline,0.95,0.16150002235058136,0.34000986162216945,0.3867817139487003
2027,independent,central,baseline,strict,0.9,0.21233105210620712,0.35844552195793045,0.4138630124960176
2027,independent,central,baseline,strict,0.95,0.21233105210620712,0.40347352104883644,0.44831607934965995
2027,independent,central,equal,strict,0.9,0.2157962039362535,0.37526471049447835,0.43231214986111705
2027,independent,central,equal,strict,0.95,0.2157962039362535,0.42044979622476936,0.4683417827790407
2027,independent,central,uptake_heavy,strict,0.9,0.2008263416275442,0.3256268078507367,0.3667806335551552
2027,independent,central,uptake_heavy,strict,0.95,0.2008263416275442,0.3585003986177741,0.39273650567561336
2027,independent,central,grid_emissions_heavy,strict,0.9,0.2135646500851273,0.37177325078083606,0.42846233832169195
2027,independent,central,grid_emissions_heavy,strict,0.95,0.2135646500851273,0.418918039486186,0.46395455110177863
2027,independent,central,fossil_heavy,strict,0.9,0.21614886827882288,0.364041631896662,0.4211633441791946
2027,independent,central,fossil_heavy,strict,0.95,0.21614886827882288,0.4081278185229289,0.45750180882645414
2028,independent,central,baseline,lenient,0.9,0.10406236956685656,0.24274843763782453,0.28107980472077615
2028,independent,central,baseline,lenient,0.95,0.10406236956685656,0.27378095716621137,0.3051075382956351
2028,independent,central,equal,lenient,0.9,0.10999766250036619,0.26504958816703217,0.30456012634565616
2028,independent,central,equal,lenient,0.95,0.10999766250036619,0.2975129676791307,0.328293152253076
2028,independent,central,uptake_heavy,lenient,0.9,0.08899437400665174,0.1901154911116114,0.21977053613124092
2028,independent,central,uptake_heavy,lenient,0.95,0.08899437400665174,0.21310756920272853,0.2384860491826799
2028,independent,central,grid_emissions_heavy,lenient,0.9,0.10074155594497647,0.22563193725159303,0.26850172929338206
2028,independent,central,grid_emissions_heavy,lenient,0.95,0.10074155594497647,0.25954604467943887,0.2957562637168297
2028,independent,central,fossil_heavy,lenient,0.9,0.09801270140060861,0.20564178452384108,0.2523228331768859
2028,independent,central,fossil_heavy,lenient,0.95,0.09801270140060861,0.23969211541593802,0.28384242284716477
2028,independent,central,baseline,baseline,0.9,0.1582127122145425,0.3039564172594872,0.351425102847174
2028,independent,central,baseline,baseline,0.95,0.1582127122145425,0.3415798731675689,0.38109172392300683
2028,independent,central,equal,baseline,0.9,0.1635998392238,0.3250583622702549,0.3737627569918978
