source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,generation_gwh,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2019-20,oil products,non_renewable,4509.201,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2020-21,oil products,non_renewable,4661.89,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2021-22,oil products,non_renewable,4664.001,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2022-23,oil products,non_renewable,4864.397,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2023-24,oil products,non_renewable,4822.944,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2024-25,oil products,non_renewable,4796.996,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2002-03,other [note a],non_renewable,1792.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2003-04,other [note a],non_renewable,1817.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2004-05,other [note a],non_renewable,434.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2005-06,other [note a],non_renewable,517.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2006-07,other [note a],non_renewable,479.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2007-08,other [note a],non_renewable,106.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1989-90,total non-renewable,subtotal_non_renewable,139078.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1990-91,total non-renewable,subtotal_non_renewable,139727.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1991-92,total non-renewable,subtotal_non_renewable,142879.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1992-93,total non-renewable,subtotal_non_renewable,145836.7,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1993-94,total non-renewable,subtotal_non_renewable,149953.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1994-95,total non-renewable,subtotal_non_renewable,156005.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1995-96,total non-renewable,subtotal_non_renewable,160766.6,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1996-97,total non-renewable,subtotal_non_renewable,164946.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1997-98,total non-renewable,subtotal_non_renewable,178357.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1998-99,total non-renewable,subtotal_non_renewable,186019.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1999-00,total non-renewable,subtotal_non_renewable,192062.5,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2000-01,total non-renewable,subtotal_non_renewable,205802.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2001-02,total non-renewable,subtotal_non_renewable,207443.7,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2002-03,total non-renewable,subtotal_non_renewable,203285.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2003-04,total non-renewable,subtotal_non_renewable,210880.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2004-05,total non-renewable,subtotal_non_renewable,208244.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2005-06,total non-renewable,subtotal_non_renewable,211085.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2006-07,total non-renewable,subtotal_non_renewable,221966.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2007-08,total non-renewable,subtotal_non_renewable,223347.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2008-09,total non-renewable,subtotal_non_renewable,225300.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2009-10,total non-renewable,subtotal_non_renewable,227487.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2010-11,total non-renewable,subtotal_non_renewable,224337.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2011-12,total non-renewable,subtotal_non_renewable,222996.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2012-13,total non-renewable,subtotal_non_renewable,214563.9,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2013-14,total non-renewable,subtotal_non_renewable,212447.895,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2014-15,total non-renewable,subtotal_non_renewable,218355.162,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2015-16,total non-renewable,subtotal_non_renewable,219282.534,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2016-17,total non-renewable,subtotal_non_renewable,217562.392,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2017-18,total non-renewable,subtotal_non_renewable,216413.262,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2018-19,total non-renewable,subtotal_non_renewable,212003.104,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2019-20,total non-renewable,subtotal_non_renewable,205247.857,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2020-21,total non-renewable,subtotal_non_renewable,194756.262,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2021-22,total non-renewable,subtotal_non_renewable,187536.02,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2022-23,total non-renewable,subtotal_non_renewable,181362.618,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2023-24,total non-renewable,subtotal_non_renewable,181854.414,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2024-25,total non-renewable,subtotal_non_renewable,176474.208,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1989-90,"bagasse, wood",renewable,750.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1990-91,"bagasse, wood",renewable,769.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1991-92,"bagasse, wood",renewable,670.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1992-93,"bagasse, wood",renewable,670.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1993-94,"bagasse, wood",renewable,670.0,false
