source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,value,unit,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,small-scale solar pv,renewable,3612.11,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,small-scale solar pv,renewable,428.113,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,small-scale solar pv,renewable,311.403,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,small-scale solar pv,renewable,34843.854,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,total renewable,subtotal_renewable,31367.443,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,total renewable,subtotal_renewable,26953.273,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,total renewable,subtotal_renewable,23630.445,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,total renewable,subtotal_renewable,9702.806,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,total renewable,subtotal_renewable,11998.963,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,total renewable,subtotal_renewable,9183.131,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,total renewable,subtotal_renewable,452.905,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,total renewable,subtotal_renewable,113288.966,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,total,total,77042.007,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,total,total,58590.384,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,total,total,75609.643,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,total,total,45310.743,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,total,total,15575.622,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,total,total,9414.052,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,total,total,5223.775,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,total,total,286766.227,GWh,true
